block_size,topic,paraphrase_idx,feature,mean,std,metric,metric_name
4,music_notation,2,d2_excess,0.46962245157938814,0.973402480320645,0.973402480320645,std
4,physics_motion,0,drift,-0.6967809676983705,1.1863242712912871,1.1863242712912871,std
4,physics_motion,0,timing_cv,0.9221461868690481,0.09669497852360677,0.10485862209322154,cv
4,physics_motion,0,mean_depth_excess,0.46871733068122706,0.6572374155693628,0.6572374155693628,std
4,physics_motion,0,isolated_frac,0.0007936507936507937,0.004347004424644175,0.004347004424644175,std
4,physics_motion,0,d2_excess,0.5574023490708627,0.7030840734289363,0.7030840734289363,std
4,physics_motion,1,drift,-0.59385422202877,1.226587465144391,1.226587465144391,std
4,physics_motion,1,timing_cv,0.9699764918750945,0.12202061682077424,0.12579749905576787,cv
4,physics_motion,1,mean_depth_excess,0.32382754479207315,0.6026752736715488,0.6026752736715488,std
4,physics_motion,1,isolated_frac,0.00036630036630036635,0.002006309734451158,0.002006309734451158,std
4,physics_motion,1,d2_excess,0.3963545532699718,0.6735051822359023,0.6735051822359023,std
4,physics_motion,2,drift,-0.6758879851586894,1.1308155802297362,1.1308155802297362,std
4,physics_motion,2,timing_cv,0.9825148953720625,0.14369706162659915,0.14625433395814666,cv
4,physics_motion,2,mean_depth_excess,0.7070108500198725,0.3665665926258442,0.3665665926258442,std
4,physics_motion,2,isolated_frac,0.0003787878787878788,0.0020747066572165385,0.0020747066572165385,std
4,physics_motion,2,d2_excess,0.9191160645960768,0.3605272126748462,0.3605272126748462,std
4,weather_clouds,0,drift,-1.073023145207309,1.2503748723592063,1.2503748723592063,std
4,weather_clouds,0,timing_cv,0.9853851305112408,0.11634513562368126,0.11807072384309138,cv
4,weather_clouds,0,mean_depth_excess,0.3779077137087093,0.7652840500419452,0.7652840500419452,std
4,weather_clouds,0,isolated_frac,0.00045045045045045046,0.0024672187275007478,0.0024672187275007478,std
4,weather_clouds,0,d2_excess,0.2392002206642672,0.583747128550412,0.583747128550412,std
4,weather_clouds,1,drift,-1.175634648164292,1.180354833684654,1.180354833684654,std
4,weather_clouds,1,timing_cv,0.9775309843542092,0.10253397839254573,0.10489077076189378,cv
4,weather_clouds,1,mean_depth_excess,0.21624663734005103,0.9685368330426269,0.9685368330426269,std
4,weather_clouds,1,isolated_frac,0.0008681436383110659,0.003308599331749911,0.003308599331749911,std
4,weather_clouds,1,d2_excess,0.09290039151180948,0.8551519649775949,0.8551519649775949,std
4,weather_clouds,2,drift,-0.8091649947464951,1.2041268198881325,1.2041268198881325,std
4,weather_clouds,2,timing_cv,0.9449453556887646,0.09920154559695418,0.10498125103186186,cv
4,weather_clouds,2,mean_depth_excess,0.7032256822036632,0.2804782945306605,0.2804782945306605,std
4,weather_clouds,2,isolated_frac,0.003054367118694604,0.005932260993351625,0.005932260993351625,std
4,weather_clouds,2,d2_excess,0.5793473234437312,0.27359234810257094,0.27359234810257094,std
8,astronomy_solar,0,drift,-0.32737631148382534,1.2722499598567896,1.2722499598567896,std
8,astronomy_solar,0,timing_cv,0.9358199100407822,0.11042573860969233,0.11799891990423678,cv
8,astronomy_solar,0,mean_depth_excess,-0.2555991121852354,1.4902818395912854,1.4902818395912854,std
8,astronomy_solar,0,isolated_frac,0.005768691597696491,0.008778431622332234,0.008778431622332234,std
8,astronomy_solar,0,d2_excess,0.0671930689912533,1.0927044199333682,1.0927044199333682,std
8,astronomy_solar,1,drift,-0.8283424173221864,1.9931701825059296,1.9931701825059296,std
8,astronomy_solar,1,timing_cv,0.9323373723425067,0.20692041448606607,0.22193727359247278,cv
8,astronomy_solar,1,mean_depth_excess,-1.0434054284128453,1.7282462112399026,1.7282462112399026,std
8,astronomy_solar,1,isolated_frac,0.00879782081821086,0.017261908556394263,0.017261908556394263,std
8,astronomy_solar,1,d2_excess,-0.3417582308726084,1.3583857983531107,1.3583857983531107,std
8,astronomy_solar,2,drift,-0.032117968839051665,1.598079652417449,1.598079652417449,std
8,astronomy_solar,2,timing_cv,0.8816358685857889,0.16328807037637572,0.18521033024473268,cv
8,astronomy_solar,2,mean_depth_excess,-1.2015838249655793,1.7764075855465886,1.7764075855465886,std
8,astronomy_solar,2,isolated_frac,0.004736115309730721,0.011117668492174413,0.011117668492174413,std
8,astronomy_solar,2,d2_excess,-0.6467968283221335,1.2879764986287414,1.2879764986287414,std
8,biology_cells,0,drift,-0.6258957444477996,1.0240110339319048,1.0240110339319048,std
8,biology_cells,0,timing_cv,0.95439091135789,0.11083396845274576,0.11613057829213107,cv
8,biology_cells,0,mean_depth_excess,0.8807952575583821,0.046380718635363485,0.046380718635363485,std
8,biology_cells,0,isolated_frac,0.0053124071825860625,0.008889380235399471,0.008889380235399471,std
8,biology_cells,0,d2_excess,0.612344383448593,0.0,0.0,std
8,biology_cells,1,drift,-0.9343658251772395,1.2056981875919521,1.2056981875919521,std
8,biology_cells,1,timing_cv,0.9414531629456184,0.10013978257447147,0.10636724854283153,cv
8,biology_cells,1,mean_depth_excess,0.8682483165675218,0.16179354477880892,0.16179354477880892,std
8,biology_cells,1,isolated_frac,0.004646750694875159,0.006765189910162394,0.006765189910162394,std
8,biology_cells,1,d2_excess,0.612344383448593,0.0,0.0,std
8,biology_cells,2,drift,-0.193042566650037,1.4412398086333231,1.4412398086333231,std
8,biology_cells,2,timing_cv,0.8463124160140507,0.06491198364707483,0.0766997888945034,cv
8,biology_cells,2,mean_depth_excess,0.7580144778621077,0.632865156067594,0.632865156067594,std
8,biology_cells,2,isolated_frac,0.006628024753024753,0.009998920357789697,0.009998920357789697,std
8,biology_cells,2,d2_excess,0.5109208830844366,0.5555193901058181,0.5555193901058181,std
8,chemistry_periodic,0,drift,-0.546290562324073,1.0765769039624205,1.0765769039624205,std
8,chemistry_periodic,0,timing_cv,0.9187940339709241,0.10474520477514306,0.1140029222027554,cv
8,chemistry_periodic,0,mean_depth_excess,0.12439395782367144,0.5617168870398422,0.5617168870398422,std
8,chemistry_periodic,0,isolated_frac,0.0041150980330300355,0.0073593695228753465,0.0073593695228753465,std
8,chemistry_periodic,0,d2_excess,0.3651246013109621,0.2875395788551515,0.2875395788551515,std
8,chemistry_periodic,1,drift,-0.6656983355096627,1.0351040643383895,1.0351040643383895,std
8,chemistry_periodic,1,timing_cv,0.881899038274248,0.11227539022075249,0.12731093395958293,cv
8,chemistry_periodic,1,mean_depth_excess,0.8135795022502028,0.14511390469351715,0.14511390469351715,std
8,chemistry_periodic,1,isolated_frac,0.005217182870946491,0.008991472107638896,0.008991472107638896,std
8,chemistry_periodic,1,d2_excess,0.612344383448593,0.0,0.0,std
8,chemistry_periodic,2,drift,-0.7801307848125194,1.196862381886369,1.196862381886369,std
8,chemistry_periodic,2,timing_cv,0.8967507959395979,0.082078034726879,0.09152825411309419,cv
8,chemistry_periodic,2,mean_depth_excess,0.20953391454736509,0.3805137046895215,0.3805137046895215,std
8,chemistry_periodic,2,isolated_frac,0.0032397305423621215,0.0070175759641207085,0.0070175759641207085,std
8,chemistry_periodic,2,d2_excess,0.21298935076472786,0.37154778668451033,0.37154778668451033,std
8,cooking_techniques,0,drift,0.05572362748660816,1.24629217878407,1.24629217878407,std
8,cooking_techniques,0,timing_cv,0.9164444351386101,0.13770004853011206,0.15025466165800358,cv
8,cooking_techniques,0,mean_depth_excess,-0.2457408014067025,1.1001450505203356,1.1001450505203356,std
8,cooking_techniques,0,isolated_frac,0.0029168840619184983,0.00629125642899269,0.00629125642899269,std
8,cooking_techniques,0,d2_excess,-0.05958630646394202,0.6657946621076289,0.6657946621076289,std
8,cooking_techniques,1,drift,-0.32737631148382546,1.5588018800988934,1.5588018800988934,std
8,cooking_techniques,1,timing_cv,0.8868541047417098,0.09437554518479303,0.10641608882475576,cv
8,cooking_techniques,1,mean_depth_excess,0.25792925836925423,0.2556255415825198,0.2556255415825198,std
8,cooking_techniques,1,isolated_frac,0.003114945072608185,0.0058116622009108726,0.0058116622009108726,std
8,cooking_techniques,1,d2_excess,0.23834522585576695,0.03471996188161362,0.03471996188161362,std
8,cooking_techniques,2,drift,0.09055089466573847,1.0341635554539061,1.0341635554539061,std
8,cooking_techniques,2,timing_cv,0.8814398869710945,0.09562750564222772,0.10849010472039561,cv
