topic,paraphrase_idx,category,K,r_drift,abs_r_drift,r_timing_cv,abs_r_timing_cv,r_mean_depth_excess,abs_r_mean_depth_excess,r_isolated_frac,abs_r_isolated_frac,r_d2_excess,abs_r_d2_excess
control_language_etymology,1,control,30,-0.27404553822456407,0.27404553822456407,0.1469039789131169,0.1469039789131169,0.08068850671878067,0.08068850671878067,0.20464793728313835,0.20464793728313835,0.11786445926182407,0.11786445926182407
control_language_etymology,2,control,30,0.03297106233911383,0.03297106233911383,0.26987569860415883,0.26987569860415883,-0.007657107520340954,0.007657107520340954,-0.13874229027498458,0.13874229027498458,-0.22786497516500653,0.22786497516500653
control_language_etymology,3,control,30,0.44527968284674635,0.44527968284674635,0.0981673303189573,0.0981673303189573,0.0567922807243685,0.0567922807243685,-0.059202000586884414,0.059202000586884414,0.15294794272041504,0.15294794272041504
control_language_etymology,4,control,30,0.05494669462183244,0.05494669462183244,0.18673502469975484,0.18673502469975484,0.08277840304610365,0.08277840304610365,-0.18292284773602274,0.18292284773602274,0.025866938072362067,0.025866938072362067
control_math_calculus,0,control,30,-0.3427859192732016,0.3427859192732016,0.021382141159098946,0.021382141159098946,-0.24078730206979082,0.24078730206979082,-0.07841043156535421,0.07841043156535421,-0.12049552242893856,0.12049552242893856
control_math_calculus,1,control,30,-0.09703985692336935,0.09703985692336935,-0.1051125842837956,0.1051125842837956,-0.29930538537216234,0.29930538537216234,0.25452267671671824,0.25452267671671824,-0.2753357084183772,0.2753357084183772
control_math_calculus,2,control,30,-0.47634557395247723,0.47634557395247723,0.46542982608116135,0.46542982608116135,0.036576464692319455,0.036576464692319455,-0.038437514472381966,0.038437514472381966,0.04240731341898523,0.04240731341898523
control_math_calculus,3,control,30,-0.22478359666918096,0.22478359666918096,-0.031155667567303785,0.031155667567303785,-0.016544268681619317,0.016544268681619317,0.011440085451741437,0.011440085451741437,-0.010191114352657682,0.010191114352657682
control_math_calculus,4,control,30,-0.13685036056652308,0.13685036056652308,-0.036684551408916174,0.036684551408916174,0.14690335396061413,0.14690335396061413,0.27417209404707427,0.27417209404707427,0.28924635229037915,0.28924635229037915
control_music_classical,0,control,30,-0.07498301589570461,0.07498301589570461,0.07531726765907623,0.07531726765907623,0.4184572218926599,0.4184572218926599,0.1894509321058644,0.1894509321058644,0.4123360320827806,0.4123360320827806
control_music_classical,1,control,30,0.08076835157173191,0.08076835157173191,-0.16516496441228767,0.16516496441228767,-0.07702012601086142,0.07702012601086142,-0.016339958951419216,0.016339958951419216,-0.06966817732912367,0.06966817732912367
control_music_classical,2,control,30,-0.1827522952171572,0.1827522952171572,-0.15734217747371868,0.15734217747371868,0.17559883101538493,0.17559883101538493,-0.015213432228688721,0.015213432228688721,0.16212430161764235,0.16212430161764235
